# all_ap,0.204536
# all_ap_50,0.301371
# all_ap_25,0.406463
# all_rc,0.496292
# all_rc_50,0.616453
# all_rc_25,0.700072
scene_id,AP,AP_50%,AP_25%
25_points_GTv3_09,0.186,0.348,0.382
25_points_GTv3_75,0.185,0.244,0.466
20_points_GTv3_64,0.184,0.270,0.459
20_points_GTv3_73,0.183,0.286,0.286
25_points_GTv3_04,0.174,0.274,0.325
25_points_GTv3_80,0.169,0.369,0.439
20_points_GTv3_90,0.168,0.319,0.452
25_points_GTv3_93,0.139,0.174,0.443
25_points_GTv3_12,0.128,0.201,0.273
25_points_GTv3_03,0.122,0.190,0.312
20_points_GTv3_88,0.117,0.228,0.371
25_points_GTv3_21,0.111,0.220,0.274
20_points_GTv3_81,0.109,0.164,0.318
25_points_GTv3_87,0.098,0.169,0.229
20_points_GTv3_84,0.089,0.097,0.380
25_points_GTv3_13,0.060,0.102,0.151
20_points_GTv3_97,0.050,0.165,0.267
25_points_GTv3_39,0.036,0.058,0.112
20_points_GTv3_78,0.017,0.053,0.121
